Var1,Var2,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M22,M23
2,3,0.42334375,0.293125,0.15,0.11263655152052,0.692404222337048,1.04672621244556,209.13419031049,113.28125,226.5625,304.6875,247.300263927889,5.5407878994721,1.28853478369225,3.87789949062805,11.2692393125542,3.26070691720516,0,P
2,3,0.54515625,0.23271875,0.27,0,0.426884494124391,0.922155345371166,392.086420573192,363.28125,226.5625,574.21875,276.325909511491,17.8886437980106,21.906415426563,2.49588446691657,14.230818249745,4.46379316358803,0,P
2,3,0.9499375,0.59321875,0.32,0,0.624481873807487,0.961346141193499,480.061327462464,355.46875,222.65625,609.375,318.46098366766,11.4553481054785,14.4026749822902,2.99919783454738,12.8314177805857,4.10917135745803,0,A
2,3,0.91784375,0.61725,0.265,0.0104521312814926,0.672500085117973,0.961220251268257,456.123795073168,359.375,218.75,601.5625,315.776157470218,9.88085797898852,11.5068697954756,3.39737275123591,10.655388927748,3.45477851966394,0,A
2,3,1.76425,0.70990625,0.3,0.0126822183254512,0.40238415757404,0.572428085588777,492.725550992288,363.28125,222.65625,605.46875,319.691208699332,9.55484270192039,8.74847908706746,3.71039375260885,13.5617667435628,3.49194853948236,0,S
2,3,1.1071875,0.80909375,0.27,0,0.730764888512559,0.974626023144227,440.821540502652,363.28125,222.65625,609.375,325.897908295729,15.4382467453518,18.3783621538016,2.92806445355335,14.8112586383793,3.78633493412535,0,A
2,3,1.116375,0.85871875,0.205,0,0.769202776844698,0.952832829470384,418.658442733252,363.28125,218.75,597.65625,323.576532032328,15.911042173359,25.4454207024009,2.63531465053584,15.8415480873574,4.10321236337813,0,A
2,3,1.14253125,0.87340625,0.235,0,0.764448456005032,0.970132107983917,435.401644008842,371.09375,218.75,593.75,315.342932425666,16.6469715672373,17.149370319098,3.04261200534549,14.5312788650873,3.94119385694004,0,A
2,3,1.350125,0.92909375,0.395,0,0.688153874641237,0.980719377835385,462.178870771833,339.84375,222.65625,542.96875,286.666477018908,26.8638337032485,27.3292272627382,3.08592085254671,16.852410920209,1.75119187996537,0,A
2,3,1.38259375,1.04021875,0.33,0,0.752367606174988,0.991049431548493,417.734180152933,359.375,226.5625,515.625,290.843732163895,27.1775976542966,28.1853942308359,3.18476939184065,16.4046152377783,2.18578380959561,0,A
2,3,2.07940625,0.71953125,0.27,0.0195665895224069,0.346027261387716,0.475872018755354,397.502823168284,242.1875,214.84375,253.90625,233.028774729825,11.1037579068373,15.1778755451573,4.72528635623119,13.8490938185148,2.165584755872,0,T
3,1,1.05296875,0.797906249999999,0.185,0.628709639126306,0.757768214868674,0.933461937972992,422.983016015052,320.3125,179.6875,648.4375,215.053775572852,1.47090369153138,-5.13277566035119,3.37890970230035,10.9730087285807,5.64752187558806,0,A
3,1,1.116125,0.75525,0.265,0.64131925973626,0.676671519767051,0.914100123194086,475.643164328789,324.21875,183.59375,687.5,226.42773349653,2.93067034871508,-4.28136297288484,3.53475855492898,9.07528581169214,5.91976874768236,0,A
3,1,1.125125,0.70196875,0.34,0.360144424385502,0.623902899677813,0.926091545383846,485.7163387161,292.96875,179.6875,683.59375,236.641605804275,6.15710076735302,3.00960814342027,3.55680662081276,9.39904248990669,5.13966254634286,0,A
